text,label
Here's the link to the collaboration document for the upcoming product launch.,0
"Hi, just wanted to check in about the project status. Let me know if you need any updates.",0
Your bank account has been frozen due to suspicious activity. Click here to resolve it.,1
Your bank account has been frozen due to suspicious activity. Click here to resolve it.,1
This is a notification about the team event tomorrow. Hope you can attend!,1
FINAL NOTICE: Your subscription is about to expire. Renew now to avoid interruptions.,0
Important: Your email address is at risk. Please update your password immediately!,0
URGENT: Your account has been compromised! Click here to secure it now.,1
Your bank account has been frozen due to suspicious activity. Click here to resolve it.,1
Don't forget to complete the task assigned in the project management system.,1
Attached is the document for next week's presentation. Please review it.,1
Your bank account has been frozen due to suspicious activity. Click here to resolve it.,1
Attached is the document for next week's presentation. Please review it.,0
"You have a limited time to claim your prize! Act fast, or you will miss out!",0
Attached is the document for next week's presentation. Please review it.,0
Your bank account has been frozen due to suspicious activity. Click here to resolve it.,1
URGENT: Your account has been compromised! Click here to secure it now.,1
This is a notification about the team event tomorrow. Hope you can attend!,1
Important: Your email address is at risk. Please update your password immediately!,1
"You have a limited time to claim your prize! Act fast, or you will miss out!",1
Reminder: We have a meeting scheduled at 2 PM today. Looking forward to your insights.,0
Reminder: We have a meeting scheduled at 2 PM today. Looking forward to your insights.,1
Warning: Your account will be deactivated. Click the link to verify your identity.,1
Attached is the document for next week's presentation. Please review it.,0
Here's the link to the collaboration document for the upcoming product launch.,0
Let's catch up next week for the brainstorming session on new ideas.,0
"Hi, just wanted to check in about the project status. Let me know if you need any updates.",0
This is a notification about the team event tomorrow. Hope you can attend!,1
"Hi, just wanted to check in about the project status. Let me know if you need any updates.",0
Security Alert: Someone is trying to access your account. Please confirm your identity immediately.,1
Let's catch up next week for the brainstorming session on new ideas.,0
"You have a limited time to claim your prize! Act fast, or you will miss out!",0
URGENT: Your account has been compromised! Click here to secure it now.,1
URGENT: Your account has been compromised! Click here to secure it now.,1
FINAL NOTICE: Your subscription is about to expire. Renew now to avoid interruptions.,1
Security Alert: Someone is trying to access your account. Please confirm your identity immediately.,0
Important: Your email address is at risk. Please update your password immediately!,1
Don't forget to complete the task assigned in the project management system.,0
Your bank account has been frozen due to suspicious activity. Click here to resolve it.,0
Here's the link to the collaboration document for the upcoming product launch.,0
